Conflict ID,Fact / issue,Version A,Source A,Version B,Source B,Risk,Recommended action,Person who must confirm,Status
C-011,Cashless insurance acceptance,Many SEO/GMB drafts state cashless insurance or all major plans accepted,SEO/GMB Foundations,No current insurer/TPA list or approval conditions were supplied,Comprehensive audit claim queue,High — financial misrepresentation and patient disputes.,"Obtain active TPA/insurer list, pre-authorisation rules and approved wording.",Insurance desk / Finance,OPEN
C-012,Procedure cost ranges,"Draft ranges such as piles ₹50k–₹75k, hernia ₹45k–₹80k, gallbladder ₹40k–₹70k",SEO/GMB Foundations,"Research ranges were derived partly from external market sources, not confirmed Prime price sheets",SEO methodology and audit claim queue,"High — stale/inaccurate pricing, missing inclusions and statutory disclosures.","Finance must provide current ranges, inclusions, exclusions, validity and insurer caveats before publication.",Finance / Operations / Clinical lead,OPEN
C-013,Recovery and procedure-time claims,"Under 30 minutes, same-day discharge, back to work in 3–5 or 5–7 days, 24-hour recovery",SEO/GMB drafts,"No approved evidence register defining eligibility, procedure and patient caveats",Comprehensive audit claim queue,High — medical advertising and informed-consent risk.,Clinical lead must approve condition-specific ranges and mandatory caveats; otherwise remove numerical claims.,Clinical lead / Compliance,OPEN
C-014,Same surgeon consults and operates / 4-hour WhatsApp response,Used as differentiating promise and CTA,"Master Brand Brain, SEO/GMB drafts",Operational exceptions and staffing SLA not documented,Comprehensive audit claim queue,High — service promise may not always be fulfilled.,"Document operational scope, exceptions and response ownership; use only approved wording.",Dr. Bhalerao / Operations,OPEN
C-015,'No cuts/no stitches/painless/minimal pain' language,Appears in legacy/draft SEO and GMB copy,SEO/GMB Foundations and public-site audit,Compliance guides prohibit absolute or guaranteed outcomes,"Design guides, general GBP guideline, audit claim queue",High — over-broad medical claim.,"Replace with procedure-specific, case-dependent language reviewed by the clinical lead.",Clinical reviewer / Copy lead,OPEN
C-016,Hospital exterior imagery,Updated social/GMB guide says avoid exterior for intro thumbnails unless requested,Logo-palette-updated guides,GMB photo strategy requires real exterior/frontage photos for local verification,GMB Foundation,"Low/medium — not a true contradiction when channel-specific, but currently undocumented.",Use real exterior photos in GBP photo library; avoid making exterior the default designed-thumbnail hero.,Creative lead / GMB manager,OPEN
C-017,Canonical logo variant,prime-logo-for-website.png,Mounted project asset,Logo and Footer.png plus logo variants embedded in flyer chain,Mounted/File Library assets,"Medium — unclear master file, transparency, resolution and lockup rules.","Client must approve primary horizontal, monochrome, reversed and icon-only masters; obtain vector files.",Client approver / Designer,OPEN
C-018,Review count/rating and testimonial use,108 reviews at 4.9 in May 2026 live pull,GMB Foundation,Public website reportedly still showed 'Based on 29 reviews'; GMB post draft reused identifiable patient quotes,Comprehensive audit and GMB Foundation,High — stale social proof and privacy/consent risk.,Refresh figures at publication time; use sourced review widgets or anonymised excerpts only with policy/privacy review.,Marketing / Compliance,OPEN
C-019,Instagram appointment number,July Instagram audit recommends 7447441426,Competitive/Instagram audit,WhatsApp strategy and several assets use 9422668921,SEO/GMB Foundations,High — profile-to-enquiry fragmentation.,"Resolve canonical channel and update bio, highlights, links, creative footers and tracking.",Marketing / Operations,OPEN
C-020,Approval and publication status,Numerous final-looking assets and copy files exist,Project/File Library production history,"Formal client approval evidence, published links and editable masters are mostly missing",Comprehensive audit,High — accidental reuse of rejected/superseded work.,"Implement approval log with approver, date, version, channel, expiry and publication URL.",Project manager / Client approver,OPEN
C-021,GMB Q&A operating method,Foundation recommends posting seed questions from a personal account and answering as owner,GMB Foundation,Later authenticity/safety guidance requires genuine non-manipulative communication,General GMB guideline and comprehensive audit,High — platform manipulation/policy risk.,Retire synthetic seeding. Publish verified FAQ content through owned surfaces and answer genuine user questions accurately.,GMB manager / Compliance,OPEN
C-022,October 2025 broader service scope,"Content plan included urology, breast/gynecology, spine/stroke and broader hospital topics",October 2025 reconstructed plan,Later focused surgical scope excludes many unrelated services,Master Brand Brain and July competitive audit,Medium/high — cross-service advertising without current operational confirmation.,Archive or revalidate every older topic against current service scope before reuse.,Clinical lead / Project manager,OPEN
