Idea_ID,Topic,Content_Type,Category,Content_Pillar,Target_Audience,Hook,Core_Message,Suggested_CTA,Language,Campaign,Status,Original_Source,Date,Duplicate_or_Related_Idea,Notes
IDEA-012,Surveyor field measurement,Reel,Reels,Trade Spotlight,Students,The eyes of infrastructure.,Theodolite and measurement process.,Explore trade,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-013,Draughtsman drawing to CAD,Reel,Reels,Trade Spotlight,Students,From drawing board to CAD.,Manual drafting and modern CAD.,Explore trade,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-014,Interior Design material-board exercise,Reel,Reels,Trade Spotlight,Students,Design becomes practical through materials.,"Samples, sketching and planning.",Explore trade,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-015,Electrician vs Electronics Mechanic,Reel,Reels,Trade Comparison,Students,Which trade fits you?,"Tools, tasks and pathways.",Compare,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-016,Fitter vs Welder,Reel,Reels,Trade Comparison,Students,Both build industry—differently.,Daily work and skill differences.,Visit campus,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-017,Principal-to-parent Marathi address,Reel,Reels,Parent Reassurance,Parents,पालकांना थेट संदेश.,"Trust, fees, safety and pathways without guarantees.",Visit campus,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-018,30-hour skill demonstration explainer,Reel,Reels,Achievement,Parents/Students,What did 30 continuous hours prove?,Verified record facts and participant voices.,Learn more,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-019,Sound-on workshop tour,Reel,Reels,Infrastructure,Students,Turn the sound on: this is the workshop.,Authentic machinery/tool sounds.,Book visit,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-020,Day in the life — Fitter,Reel,Reels,Student Identity,Students,"One day, one trade, real work.",Theory plus workshop.,Explore Fitter,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-021,Day in the life — Electrician,Reel,Reels,Student Identity,Students,From diagram to panel.,Theory plus practical work.,Explore Electrician,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-022,Faculty mini-interview,Reel,Reels,Faculty Credibility,Parents/Students,What should a first-year student learn first?,Verified instructor expertise.,Meet faculty,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-023,Student week-three diary,Reel,Reels,Student Story,Students,What I learned in my third week.,Peer voice with consent.,Follow series,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-024,Industry visit recap,Reel,Reels,Industry Connection,Students/Recruiters,What students saw on the shop floor.,Verified visit and learning.,Learn more,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-025,Admission process in 30 seconds,Reel,Reels,Admission Cycle,Parents/Students,Three steps to apply.,Documents and inquiry flow.,Enquire,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-026,Apprenticeship pathway explainer,Reel,Reels,Career Guidance,Parents/Students,ITI नंतर apprenticeship म्हणजे काय?,Realistic pathway explanation.,Learn more,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-027,Campus visit invitation,Reel,Reels,Parent Reassurance,Parents,कार्यशाळा प्रत्यक्ष पाहा.,Invite families to verify facilities.,Book visit,Marathi-first / bilingual,Admission + Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Requires real footage and consent where people are identifiable.
IDEA-028,4.9-star Google review milestone,Static post,Static Posts,Social Proof,Parents,100+ public reviews,Show dated snapshot; do not imply placement quality.,Read reviews,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-029,Seven-institute network map,Static post,Static Posts,Heritage & Trust,Parents/Counselors,Seven institutes. One mission.,Explain the network accurately.,Learn about KUMSS,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-030,Trust heritage since 1951,Static post,Static Posts,Heritage & Trust,Parents,शिक्षणसेवेची परंपरा.,Timeline without political promotion.,Read story,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-031,Principal profile — Dr. Vikas S. Nirmal,Static post,Static Posts,Faculty Credibility,Parents,Leadership grounded in engineering and education.,Use confirmed name/credentials.,Meet leadership,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-032,Superintendent profile — Mahesh Chandgude,Static post,Static Posts,Faculty Credibility,Parents/Students,Meet the people behind the workshop.,Confirm role/credentials.,Meet faculty,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-033,Engineering Drawing instructor — Vishal Madane,Static post,Static Posts,Faculty Credibility,Students,Drawing before cutting.,Real teaching context.,Meet faculty,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-034,Fitter instructor — Rahul Jadhav,Static post,Static Posts,Faculty Credibility,Students,Hands-on guidance.,Confirm role/credentials.,Meet faculty,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-035,Fitter instructor — Akshay Taware,Static post,Static Posts,Faculty Credibility,Students,Practice builds precision.,Confirm role/credentials.,Meet faculty,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-036,Electrician trade card,Static post,Static Posts,Trade Spotlight,Students,Electrician / इलेक्ट्रिशियन,"Verified duration, eligibility, certification.",Enquire,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-037,Fitter trade card,Static post,Static Posts,Trade Spotlight,Students,Fitter / फिटर,Hands-on precision work.,Enquire,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-038,Electronics Mechanic trade card,Static post,Static Posts,Trade Spotlight,Students,Electronics Mechanic,Real lab/tasks.,Enquire,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-039,Interior Design trade card,Static post,Static Posts,Trade Spotlight,Students,Interior Design,Confirm official title.,Enquire,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-040,Welder trade card,Static post,Static Posts,Trade Spotlight,Students,Welder,Only if active/affiliated.,Enquire,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-041,Surveyor trade card,Static post,Static Posts,Trade Spotlight,Students,Surveyor,Only if active/affiliated.,Enquire,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-042,Draughtsman Mechanical trade card,Static post,Static Posts,Trade Spotlight,Students,Draughtsman Mechanical,Only if active/affiliated.,Enquire,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-043,Admissions open 2026–27,Static post,Static Posts,Admission Cycle,Parents/Students,प्रवेश सुरू,"Confirmed trades, dates, eligibility and NAP.",Contact,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-044,Workshop facility highlight,Static post,Static Posts,Infrastructure,Parents,Real workshop. Real tools.,Real KUMSS photo.,Visit campus,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-045,Affiliation certificate highlight,Static post,Static Posts,Government Affiliations,Parents,Recognition you can verify.,Certificate/registration only after verification.,View certificate,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,Source verification and approval required.
IDEA-046,Why ITI is a serious career path,Carousel,Carousels,Career Guidance,Students/Parents,ITI — एक ठाम करिअर मार्ग,"Skills, trainers, recognition, exposure and next steps.",Save / share,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-047,ITI versus immediate work,Carousel,Carousels,Parent Reassurance,Parents,Two years of work now—or a certified skill path?,Balanced comparison without guarantees.,Discuss,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-048,How to choose the right trade,Carousel,Carousels,Trade Comparison,Students,तुमच्यासाठी योग्य ट्रेड कोणता?,"Interests, aptitude, tasks, duration and pathways.",Visit counseling,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-049,Admission process step by step,Carousel,Carousels,Admission Cycle,Parents/Students,प्रवेशाची प्रक्रिया,Confirmed steps and contacts.,Enquire,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-050,Admission document checklist,Carousel,Carousels,Admission Cycle,Parents/Students,अर्जासाठी कागदपत्रे,Client-confirmed list.,Save,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-051,Fee structure and inclusions,Carousel,Carousels,Parent Reassurance,Parents,एकूण फी किती?,Transparent approved costs.,Contact,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-052,What comes after ITI,Carousel,Carousels,Career Guidance,Students/Parents,ITI नंतरचे मार्ग,"Apprenticeship, work, further study, enterprise.",Learn,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-053,"DGT, NCVT and DVET explained",Carousel,Carousels,Government Affiliations,Parents,मान्यता म्हणजे काय?,Explain terms without claiming status.,Verify,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-054,Apprenticeship basics,Carousel,Carousels,Career Guidance,Students,Apprenticeship कशी काम करते?,Process and realistic expectations.,Ask counselor,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-055,Parent FAQ,Carousel,Carousels,Parent Reassurance,Parents,पालकांचे 7 प्रश्न,"Fees, safety, recognition, trades, pathways, visits, contacts.",Visit,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-056,ITI myths versus facts,Carousel,Carousels,Awareness,Students/Parents,ITI बद्दलचे गैरसमज,Evidence-led skill respect.,Share,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-057,Workshop safety and PPE,Carousel,Carousels,Skill Demonstration,Students,कौशल्यासोबत सुरक्षा,Real safety rules.,Learn safely,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-058,KUMSS heritage timeline,Carousel,Carousels,Heritage & Trust,Parents/Counselors,1951 ते आज,Seven institutes and ITI chapter.,Read story,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-059,Which trade interests you? poll,Story,Stories,Trade Spotlight,Students,Electrician / Fitter / Electronics / Other,Collect preferences.,Vote,Marathi,Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-060,Ask the Principal Q&A,Story,Stories,Parent Reassurance,Parents,तुमचा प्रश्न विचारा,Gather real questions.,Submit,Marathi,Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-061,Workshop behind-the-scenes,Story,Stories,Infrastructure,Students,आजच्या कार्यशाळेत,Show real activity.,Watch,Marathi,Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-062,Faculty question of the day,Story,Stories,Faculty Credibility,Students,आजचा प्रश्न,Short educational prompt.,Answer,Marathi,Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-063,Campus visit reminder,Story,Stories,Admission Cycle,Parents,या आठवड्यात campus भेट,Confirmed slots/hours.,Book,Marathi,Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-064,Admission document quiz,Story,Stories,Admission Cycle,Students,कागदपत्रे तयार आहेत का?,Interactive checklist.,Check,Marathi,Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-065,Review quote card,Story,Stories,Social Proof,Parents,विद्यार्थी/पालक काय म्हणतात,Real review under attribution policy.,Read,Marathi,Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-066,Event day live updates,Story,Stories,Achievement,Community,आजचा कार्यक्रम,Verified event moments.,Follow,Marathi,Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-067,Identify the tool quiz,Story,Stories,Skill Demonstration,Students,हे tool ओळखा,Workshop learning.,Reply,Marathi,Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-068,Recruitment/institute update,Story,Stories,Institution Update,Local professionals,Staff requirement / update,Exact role and deadline.,Apply,Marathi,Always-on,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-069,India Book achievement update,GMB post,GMB,Achievement,Local searchers,KUMSS skill achievement,Verified record details.,Visit us,Marathi-first / bilingual,Always-on GMB,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,"4:3, moderate branding, no urgency/guarantees."
IDEA-070,Workshop facility update,GMB post,GMB,Infrastructure,Parents,Inside our workshop,Real facility photo/context.,Visit campus,Marathi-first / bilingual,Always-on GMB,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,"4:3, moderate branding, no urgency/guarantees."
IDEA-071,Faculty profile update,GMB post,GMB,Faculty Credibility,Parents,Meet our instructor,Verified role/credential.,Learn,Marathi-first / bilingual,Always-on GMB,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,"4:3, moderate branding, no urgency/guarantees."
IDEA-072,Industry visit update,GMB post,GMB,Industry Connection,Parents/Students,उद्योग भेट,Verified company/context.,Learn,Marathi-first / bilingual,Always-on GMB,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,"4:3, moderate branding, no urgency/guarantees."
IDEA-073,Admissions update,GMB post,GMB,Admission Cycle,Parents/Students,Admissions open 2026–27,Confirmed trades/contact.,Call / visit,Marathi-first / bilingual,Always-on GMB,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,"4:3, moderate branding, no urgency/guarantees."
IDEA-074,Trade service — Electrician,GMB post,GMB,Trade Spotlight,Local searchers,Electrician course in Baramati,Helpful verified facts.,Contact,Marathi-first / bilingual,Always-on GMB,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,"4:3, moderate branding, no urgency/guarantees."
IDEA-075,Trade service — Fitter,GMB post,GMB,Trade Spotlight,Local searchers,Fitter course in Baramati,Helpful verified facts.,Contact,Marathi-first / bilingual,Always-on GMB,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,"4:3, moderate branding, no urgency/guarantees."
IDEA-076,Campus location and directions,GMB post,GMB,Local Information,Visitors,How to reach KUMSS ITI,Canonical map pin/landmarks.,Directions,Marathi-first / bilingual,Always-on GMB,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,"4:3, moderate branding, no urgency/guarantees."
IDEA-077,Admission document checklist,GMB post,GMB,Admission Cycle,Parents,Documents to bring,Confirmed list.,Call,Marathi-first / bilingual,Always-on GMB,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,"4:3, moderate branding, no urgency/guarantees."
IDEA-078,Principal message,GMB post,GMB,Parent Reassurance,Parents,A message to parents,Calm campus invitation.,Visit,Marathi-first / bilingual,Always-on GMB,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,"4:3, moderate branding, no urgency/guarantees."
IDEA-079,FAQ: What is NCVT?,GMB post,GMB,Education,Parents,Understanding certification,Education without claiming status.,Learn,Marathi-first / bilingual,Always-on GMB,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,"4:3, moderate branding, no urgency/guarantees."
IDEA-080,Review response cadence,GMB post,GMB,Reputation,Reviewers,Thank you for your feedback,Personalised response.,Contact,Marathi-first / bilingual,Always-on GMB,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,"4:3, moderate branding, no urgency/guarantees."
IDEA-081,Private ITI in Baramati — parent guide,Blog / landing page,Blogs,SEO / Admission,Parents,What to verify before choosing an ITI,"Affiliation, workshops, fees, visits and pathways.",Visit campus,Marathi + English,SEO Foundation,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-082,Electrician course in Baramati,Blog / landing page,Blogs,SEO / Trade,Students,"Course, skills, duration and pathways",Verified KUMSS facts.,Enquire,Marathi + English,SEO Foundation,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-083,Fitter course in Baramati,Blog / landing page,Blogs,SEO / Trade,Students,What Fitter students learn,Verified curriculum/facility.,Enquire,Marathi + English,SEO Foundation,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-084,Electronics Mechanic course guide,Blog / landing page,Blogs,SEO / Trade,Students,Is Electronics Mechanic right for you?,Tasks and pathways.,Enquire,Marathi + English,SEO Foundation,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-085,Welder course guide,Blog / landing page,Blogs,SEO / Trade,Students,What welding training involves,Publish only if active.,Enquire,Marathi + English,SEO Foundation,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-086,Surveyor course guide,Blog / landing page,Blogs,SEO / Trade,Students,Surveying as an infrastructure skill,Publish only if active.,Enquire,Marathi + English,SEO Foundation,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-087,Draughtsman Mechanical and CAD,Blog / landing page,Blogs,SEO / Trade,Students,From manual drawing to CAD,Publish only if active.,Enquire,Marathi + English,SEO Foundation,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-088,Interior Design vocational pathway,Blog / landing page,Blogs,SEO / Trade,Students,Practical entry into design work,Confirm trade title.,Enquire,Marathi + English,SEO Foundation,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-089,ITI after 10th: options for families,Blog / landing page,Blogs,Career Guidance,Parents/Students,ITI after SSC,Explain choices respectfully.,Learn,Marathi + English,SEO Foundation,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-090,ITI fees in Baramati,Blog / landing page,Blogs,SEO / Parent Reassurance,Parents,Understanding total cost,Approved fee data.,Contact,Marathi + English,SEO Foundation,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-091,"What NCVT, DGT and DVET mean",Blog / landing page,Blogs,Government Affiliations,Parents,Certification explained,Official-source educational content.,Verify,Marathi + English,SEO Foundation,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-092,Apprenticeship after ITI,Blog / landing page,Blogs,Career Guidance,Students,How apprenticeship works,Process and realistic expectations.,Ask counselor,Marathi + English,SEO Foundation,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-093,Admission Cycle 2026–27,Campaign concept,Campaigns,Admission Cycle,Parents/Students,प्रवेश सुरू,Verified bilingual facts and campus verification.,Enquire,Marathi + English,Admission Cycle 2026–27,DRAFT,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-094,India Book of Records amplification,Campaign concept,Campaigns,Achievement,Community,30 hours of continuous skill,Build proof after resolving event conflict.,Learn,Marathi + English,India Book of Records amplification,DRAFT,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-095,Skill-tied festival cycle,Campaign concept,Campaigns,Festival,Community,Festival + skill mission,Avoid generic greetings.,Share,Marathi + English,Skill-tied festival cycle,DRAFT,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-096,Industry connection series,Campaign concept,Campaigns,Industry Connection,Students/Recruiters,From workshop to industry,Document verified visits/apprenticeships.,Partner,Marathi + English,Industry connection series,DRAFT,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-097,Counselor outreach,Campaign concept,Campaigns,Counselor Outreach,School counselors,A serious vocational option,Verified referral kit.,Schedule orientation,Marathi + English,Counselor outreach,DRAFT,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-098,Alumni reactivation,Campaign concept,Campaigns,Alumni,Alumni,Where are KUMSS graduates now?,Build consented database/stories.,Reconnect,Marathi + English,Alumni reactivation,DRAFT,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-099,30-hour record mini-documentary,Video concept,Video Concepts,Achievement,Parents/Students,The people behind the record,"Certificate, preparation, participants and learning.",Watch,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-100,Principal Marathi address series,Video concept,Video Concepts,Parent Reassurance,Parents,One question per video,"Fees, safety, trades, recognition, pathways.",Visit,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-101,Seven-trade workshop series,Video concept,Video Concepts,Trade Spotlight,Students,"One workshop, one trade",Real demonstrations.,Follow,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-102,Parent testimonial series,Video concept,Video Concepts,Social Proof,Parents,Why this family chose the ITI,"Documented, consented specifics.",Visit,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-103,Alumni outcome series,Video concept,Video Concepts,Alumni Stories,Students,Where skill led next,Verified role/company; no salary hype.,Learn,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-104,Industry visit video,Video concept,Video Concepts,Industry Connection,Recruiters/Students,Learning beyond campus,Verified visit and takeaways.,Partner,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-105,Campus tour,Video concept,Video Concepts,Infrastructure,Parents,See before you decide,Workshops/classrooms/facilities.,Book visit,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-106,Admission explainer video,Video concept,Video Concepts,Admission Cycle,Parents/Students,How to apply,Confirmed steps/documents.,Enquire,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-107,Faculty micro-lessons,Video concept,Video Concepts,Faculty Credibility,Students,One useful concept in 45 seconds,Demonstrate expertise.,Follow,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-108,Workshop safety induction,Video concept,Video Concepts,Skill Demonstration,Students,Safety first,Real PPE and procedure.,Learn safely,Marathi-first / bilingual,Always-on / Admission,UNUSED,KUMSS source synthesis,DATE-UNKNOWN,,
IDEA-109,Holi / Dhulivandan 2026 greeting,Static caption,Prior Context,Festival,Community,धुलिवंदनाच्या शुभेच्छा,Color/joy/skill connection,Visit / follow,Marathi,Festival Cycle,NEEDS_REVIEW,Prior context summary only,DATE-UNKNOWN,,Referenced 9881907908 and kumss.com; do not reuse.
