Archive ID,Asset ID,Current filename,Status,Archive category,Reason,Original source,Notes
ARC-039,AST-041,Promoting heart health at Gore Hospital.png,ARCHIVED,02_Rejected_Assets,"Type/topic: Generated cover / Cardiology. Iteration/decision: 100,000-beats hook and stethoscope heart. Audit disposition: Logo text typo and old phones; do not publish. Original bytes are reference-only unless separately mounted.",Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-040,AST-042,Heart health awareness at Gore Hospital.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated cover revision / Cardiology. Iteration/decision: Clean gold/black/red variant. Audit disposition: Legacy emblem/contact; source claim. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-041,AST-046,Pasted markdown.md / Pasted markdown (2).md,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Duplicate working exports / SEO baseline. Iteration/decision: Copies of SEO analysis under noncanonical names. Audit disposition: Archive duplicates; canonical is SEO Foundation. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-042,AST-050,Gore-linked fertility/age blog HTML draft,DRAFT,02_Rejected_Assets,Type/topic: Website content draft / Women’s health / fertility. Iteration/decision: Complete message/title not available. Audit disposition: Confirm existence and publication before use. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-043,AST-051,Blocked nose and allergy awareness.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative / ENT / allergy. Iteration/decision: Blocked-nose morning awareness. Audit disposition: Cartoon/legacy brand; rebuild. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-044,AST-052,Allergic rhinitis awareness in bed.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative / ENT / allergy. Iteration/decision: Symptoms and morning routine. Audit disposition: 3D cartoon/legacy logo; rebuild. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-045,AST-053,Early signs of arthritis to watch.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative / Orthopaedics. Iteration/decision: Early arthritis signs. Audit disposition: Limited metadata; confirm before reuse. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-046,AST-054,Ear pain after cold: what it means.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative / ENT. Iteration/decision: Post-cold ear-pain awareness. Audit disposition: Limited metadata; confirm before reuse. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-047,AST-055,Heart health through daily habits.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative / Cardiology. Iteration/decision: Preventable heart-disease habits. Audit disposition: Legacy logo; source/claim QA. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-048,AST-056,Annual health checkup promotion poster.png,ARCHIVED,06_Unverified_Material,Type/topic: Generated creative / Preventive health. Iteration/decision: Adult annual check-up with CardioGyn co-brand. Audit disposition: Unverified co-brand; cartoon; archive pending approval. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-049,AST-057,Annual health checkup for all ages.png,ARCHIVED,06_Unverified_Material,Type/topic: Generated creative / Preventive health. Iteration/decision: Not just for seniors. Audit disposition: Unverified co-brand; cartoon; rebuild. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-050,AST-058,Your health history matters.png,ARCHIVED,06_Unverified_Material,Type/topic: Generated creative / Family physician. Iteration/decision: Long-term tracking and medical history. Audit disposition: Unverified co-brand; cartoon. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-051,AST-059,Breathlessness: Know the causes and risks.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative / Pulmonology/cardiology. Iteration/decision: Asthma/COPD/infection/allergy/heart-related causes. Audit disposition: Legacy logo; distress image; rebuild. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-052,AST-060,Breathlessness: Understand the causes and care.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative / Pulmonology. Iteration/decision: Alternate photorealistic layout. Audit disposition: Legacy logo; current contact missing. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-053,AST-061,Breathlessness: a call to action.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative (limited metadata) / Pulmonology. Iteration/decision: Persistent breathlessness CTA. Audit disposition: Confirm file; rebuild under current brand. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-054,AST-062,Kidney health awareness poster.png,DRAFT,06_Unverified_Material,Type/topic: Generated creative (limited metadata) / Nephrology. Iteration/decision: Kidney risk awareness. Audit disposition: Confirm co-brand/claims. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-055,AST-063,Kidney health awareness: Don’t wait.png,DRAFT,06_Unverified_Material,Type/topic: Generated creative (limited metadata) / Nephrology. Iteration/decision: Early testing CTA. Audit disposition: Confirm co-brand/claims. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-056,AST-064,Kidney health awareness in clinic setting.png,ARCHIVED,06_Unverified_Material,Type/topic: Generated creative / Nephrology. Iteration/decision: Diabetes/BP can damage kidneys; CardioGyn co-brand. Audit disposition: Unverified co-brand; cartoon. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-057,AST-065,Breathlessness awareness for better health.png,DRAFT,02_Rejected_Assets,"Type/topic: Generated creative / Pulmonology. Iteration/decision: Watch-for symptom list. Audit disposition: 3D cartoon, ambiguous ethnicity; rebuild. Original bytes are reference-only unless separately mounted.",Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-058,AST-066,Foamy urine: a kidney’s warning.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative / Nephrology. Iteration/decision: Protein-leakage warning with kidney mascot. Audit disposition: Mascot/cartoon and co-brand conflict. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-059,AST-067,Symptoms of breathlessness to watch for.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative / Pulmonology. Iteration/decision: Condition/symptom infographic. Audit disposition: Contains wording error (“increased stiffness”); cartoon. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-060,AST-068,Asthma control with proper treatment.png,DRAFT,06_Unverified_Material,Type/topic: Generated creative (limited metadata) / Pulmonology. Iteration/decision: Inhaler and control message. Audit disposition: Confirm exact asset; clinical review. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-061,AST-069,Managing asthma with proper treatment.png,DRAFT,04_Duplicate_Files,Type/topic: Generated creative (limited metadata) / Pulmonology. Iteration/decision: Alternate asthma treatment variant. Audit disposition: Confirm exact asset; clinical review. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-062,AST-070,Asthma management with proper care.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative / Pulmonology. Iteration/decision: Inhaler safety and benefits. Audit disposition: 3D cartoon/legacy logo; rebuild. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-063,AST-071,Get your cough checked today.png,DRAFT,06_Unverified_Material,Type/topic: Generated creative / Pulmonology. Iteration/decision: Cough >2–3 weeks and causes. Audit disposition: 3D cartoon; source/clinical QA. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-064,AST-072,Swelling in feet: kidney warning.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative / Nephrology. Iteration/decision: Swelling as warning sign with kidney mascot. Audit disposition: Cartoon/co-brand; rebuild. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-065,AST-073,Smoking and COPD: early signs to watch.png,DRAFT,06_Unverified_Material,Type/topic: Generated creative / Pulmonology. Iteration/decision: Smoking/COPD link and symptoms. Audit disposition: Distress image; source/clinical QA. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-066,AST-074,Air pollution and lung health awareness.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative / Pulmonology/public health. Iteration/decision: Pollution impact and protection tips. Audit disposition: 3D/ambiguous character; rebuild. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-067,AST-075,Air pollution and lung health infographic.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative revision / Pulmonology/public health. Iteration/decision: Common effects and protection grid. Audit disposition: Current concept useful; brand/visual reset needed. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-068,AST-076,Kidney stones: symptoms and education.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative / Nephrology/urology. Iteration/decision: Symptoms and kidney mascot. Audit disposition: Cartoon/co-brand; rebuild. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-069,AST-077,Pollution and its effects on health.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative / Pulmonology/public health. Iteration/decision: Allergy/asthma/breathing problems. Audit disposition: 3D character; brand reset. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-070,AST-078,Lung health awareness day poster.png,DRAFT,02_Rejected_Assets,Type/topic: Generated creative (limited metadata) / Awareness day. Iteration/decision: Lung-health occasion content. Audit disposition: Confirm event/date and asset before reuse. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-071,AST-079,Lung cancer awareness day poster.png,DRAFT,06_Unverified_Material,Type/topic: Generated creative (limited metadata) / Oncology/lung health. Iteration/decision: Awareness-day asset. Audit disposition: Clinical/compliance review required. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-072,AST-080,Lung cancer awareness campaign poster.png,DRAFT,04_Duplicate_Files,Type/topic: Generated creative (limited metadata) / Oncology/lung health. Iteration/decision: Campaign variant. Audit disposition: Clinical/compliance review required. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-073,AST-081,Celebrating Doctors’ Day at GMH.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative / National Doctors’ Day. Iteration/decision: Pink/green doctor appreciation variant. Audit disposition: Old logo/phones. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-074,AST-082,National Doctors’ Day promotion.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative / National Doctors’ Day. Iteration/decision: Pink/green variant. Audit disposition: Old logo/phones. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-075,AST-083,National Doctors’ Day celebration poster.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative / National Doctors’ Day. Iteration/decision: Pink/green variant. Audit disposition: Old logo/phones. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-076,AST-084,National Doctors’ Day celebration poster.png (yellow/green),SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,Type/topic: Generated creative revision / National Doctors’ Day. Iteration/decision: Alternate palette. Audit disposition: Old logo/phones. Original bytes are reference-only unless separately mounted.,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
ARC-077,AST-085,Don’t ignore joint pain signs.png,SUPERSEDED,01_Old_Guidelines/03_Superseded_Content,"Type/topic: Generated creative / Orthopaedics. Iteration/decision: Four warning cards, booking CTA. Audit disposition: Legacy logo and old phones. Original bytes are reference-only unless separately mounted.",Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,Reference-only unless exact bytes are present.
