Fact,Claim / Value,Source,Label,Notes
Review reply rate after June work,95%+ (all 27 unanswered replied to),m6_client_report_june2026.md,PUBLISHED (per agency report),Not independently re-verified in this extraction; treat as agency-reported
GMB category before June,Hospital,05_gmb_foundation.md §1; m1_audit.md,CONFIRMED (live, pre-change),Superseded by change below
GMB category after June,"Surgical Centre + General Surgeon, Proctologist, Gastroenterologist",m6_client_report_june2026.md,PUBLISHED (per agency report),Change reported complete; indexing effect expected in July data
Laser piles cost range (version A),"₹50,000-₹75,000",05_gmb_foundation.md §3; GMB post templates,DRAFT / PROPOSED,"Conflicts with version B — reconcile with Dr. Bhalerao before publishing, see Services_And_Offers.md"
Laser piles cost range (version B),"₹25,000-₹65,000",m3_website_rewrite_plan.md §6,DRAFT / PROPOSED,Conflicts with version A above
Hernia surgery cost range,"₹45,000-₹80,000",05_gmb_foundation.md; 04_seo_foundation.md,DRAFT / PROPOSED,Consistent across documents that mention it; still a proposed range pending client confirmation
Gallbladder surgery cost range,"₹40,000-₹70,000",05_gmb_foundation.md; 04_seo_foundation.md,DRAFT / PROPOSED,Consistent across documents that mention it
GA4 installation status,Not confirmed installed,01_research.md through m6_client_report_june2026.md,UNVERIFIED,"Flagged as unresolved in every document from May through June 25 — highest-priority open item"
Insurance networks accepted,"20+ insurance networks (one mention), 'most major providers' (all other mentions)",01_research.md (Buyer Fear Map); 05_gmb_foundation.md,UNVERIFIED,Specific "20+" figure appears once and is not corroborated elsewhere — verify before quoting to patients
Managing agency name,Digitech Solutions,m6_client_report_june2026.md (signature line),CONFIRMED,Only appears once, in the report's closing signature
"Kidney Stone" service claim,Listed in homepage meta description and About page,Conversation history (Site Discovery Findings - not in uploaded files),CONFLICTING,"Not an actual Prime service per GMB Foundation service list - website error to fix, source: ADDITIONAL_CONTEXT_FROM_CONVERSATIONS.md"
"Robotic surgery" service claim,Mentioned on /hernia/ and /thyroid/ pages,Conversation history (Site Discovery Findings - not in uploaded files),CONFLICTING,"Not an actual Prime service - this is competitor Dr. Kurhade's territory per 04_seo_foundation.md - website error to fix"
Contact page email (as currently live),idrpankajnbhalerao@gmail.com,03_site_extraction_complete.md,LIVE_ON_WEBSITE but likely a typo,"Later conversation history flags an extra 'i' - likely should be drpankajnbhalerao@gmail.com - confirm with Dr. Bhalerao before changing"
Footer email link (site-wide),mailto:info@example.com placeholder,Conversation history (Site Discovery Findings - not in uploaded files),CONFLICTING / BROKEN,Every footer email click bounces site-wide - needs a real address
Appointment page booking functionality,Non-functional calendar widget - no working booking form,Conversation history (Site Discovery Findings - not in uploaded files),CONFLICTING / BROKEN,Patients cannot actually book online despite the page existing
