Asset ID,Asset name,Current filename,Recommended filename,File type,Campaign,Platform,Dimensions,Language,Status,Approval evidence,Original source,Rights or consent,Consent status,Destination folder,Notes
AST-014,Whole-person fixed export,NRS_slide_4_separate_FIXED.png,2026-05-21_NRS-Hospital_Stress-Weight_NRS_slide_4_separate_FIXED.png_PENDING_CLIENT_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,PENDING_CLIENT,None,SRC-014,Unknown,UNKNOWN,02_ASSETS/08_Final_Exports,"File Library pointer only. FIXED means corrected, not approved."
AST-015,Dr. Pranav profile variant,NRS_Slide_5.png,2026-05-21_NRS-Hospital_Stress-Weight_NRS_Slide_5.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
AST-016,Dr. Pranav naming variants,NRS_slide_5.png,2026-05-21_NRS-Hospital_Stress-Weight_NRS_slide_5.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
AST-017,Dr. Pranav profile revision,NRS_Wellness_slide_5.png,2026-05-21_NRS-Hospital_Stress-Weight_NRS_Wellness_slide_5.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
AST-018,Dr. Pranav profile variant,NRS_Dr_Pranav_Slide_5.png,2026-05-21_NRS-Hospital_Stress-Weight_NRS_Dr_Pranav_Slide_5.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
AST-019,Dr. Pranav fixed export,NRS_slide_5_separate_FIXED.png,2026-05-21_NRS-Hospital_Stress-Weight_NRS_slide_5_separate_FIXED.png_PENDING_CLIENT_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,PENDING_CLIENT,None,SRC-014,Unknown,UNKNOWN,02_ASSETS/08_Final_Exports,"File Library pointer only. FIXED means corrected, not approved."
AST-020,Four support areas variant,NRS_Slide_6.png,2026-05-21_NRS-Hospital_Stress-Weight_NRS_Slide_6.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
AST-021,Four support areas naming variant,NRS_slide_6.png,2026-05-21_NRS-Hospital_Stress-Weight_NRS_slide_6.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
AST-022,Booking CTA variant,NRS_Slide_7.png,2026-05-21_NRS-Hospital_Stress-Weight_NRS_Slide_7.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
AST-023,Booking CTA lowercase variant,nrs_slide_7.png,2026-05-21_NRS-Hospital_Stress-Weight_nrs_slide_7.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
AST-024,Booking CTA fixed export,NRS_slide_7_separate_FIXED.png,2026-05-21_NRS-Hospital_Stress-Weight_NRS_slide_7_separate_FIXED.png_PENDING_CLIENT_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,PENDING_CLIENT,None,SRC-014,Unknown,UNKNOWN,02_ASSETS/08_Final_Exports,"File Library pointer only. FIXED means corrected, not approved."
AST-025,Campaign component export,slide_1.png,2026-05-21_NRS-Hospital_Stress-Weight_slide_1.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
AST-026,Campaign component export,slide_2.png,2026-05-21_NRS-Hospital_Stress-Weight_slide_2.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
AST-027,Campaign component export,slide_4.png,2026-05-21_NRS-Hospital_Stress-Weight_slide_4.png_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/03_Superseded_Content,"File Library pointer only. FIXED means corrected, not approved."
AST-028,NRS Wellness chart/slide derivative 1,chart-1.png,2026-05-21_NRS-Hospital_Stress-Weight_Carousel-Slide-01_English-Instagram_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/04_Duplicate_Files,Multiple file IDs/naming variants; exact lineage unknown.
AST-029,NRS Wellness chart/slide derivative 2,chart-2.png,2026-05-21_NRS-Hospital_Stress-Weight_Carousel-Slide-02_English-Instagram_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/04_Duplicate_Files,Multiple file IDs/naming variants; exact lineage unknown.
AST-030,NRS Wellness chart/slide derivative 3,chart-3.png,2026-05-21_NRS-Hospital_Stress-Weight_Carousel-Slide-03_English-Instagram_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/04_Duplicate_Files,Multiple file IDs/naming variants; exact lineage unknown.
AST-031,NRS Wellness chart/slide derivative 4,chart-4.png,2026-05-21_NRS-Hospital_Stress-Weight_Carousel-Slide-04_English-Instagram_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/04_Duplicate_Files,Multiple file IDs/naming variants; exact lineage unknown.
AST-032,NRS Wellness chart/slide derivative 5,chart-5.png,2026-05-21_NRS-Hospital_Stress-Weight_Carousel-Slide-05_English-Instagram_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/04_Duplicate_Files,Multiple file IDs/naming variants; exact lineage unknown.
AST-033,NRS Wellness chart/slide derivative 6,chart-6.png,2026-05-21_NRS-Hospital_Stress-Weight_Carousel-Slide-06_English-Instagram_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/04_Duplicate_Files,Multiple file IDs/naming variants; exact lineage unknown.
AST-034,NRS Wellness chart/slide derivative 7,chart-7.png,2026-05-21_NRS-Hospital_Stress-Weight_Carousel-Slide-07_English-Instagram_SUPERSEDED_v01.png,PNG,"NRS Wellness — stress, weight and mind-body",Instagram/carousel,Unknown,English,SUPERSEDED,None,SRC-014,Unknown,UNKNOWN,99_ARCHIVE/04_Duplicate_Files,Multiple file IDs/naming variants; exact lineage unknown.
