Asset ID,Asset name,Date,Current filename,Recommended filename,File type,Campaign,Platform,Dimensions,Language,Status,Approval source,Approval evidence,Original source,Destination folder,Usage rights,Rights or consent,Consent status,Notes
AST-011,Is your thyroid silently affecting health?,2026-05-15,Is your thyroid silently affecting health?.png,2026-05-15_Gore-Hospital_Is-your-thyroid-silently-affecting-health_Social-Creative_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Social-Creative,Endocrinology_Awareness,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Creative brief/asset / Endocrinology. Iteration/decision: Simplified static post request. Audit disposition: Rebuild under current brand + source claim. Original bytes are reference-only unless separately mounted.
AST-012,Thyroid health awareness campaign,2026-05-15,Thyroid health awareness campaign.png,2026-05-15_Gore-Hospital_Thyroid-health-awareness-campaign_Creative-Revision_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Creative-Revision,Endocrinology_Awareness,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Revision instruction / Endocrinology. Iteration/decision: Add canonical-looking address in gold box. Audit disposition: Contact/address must be checked against signed fact sheet. Original bytes are reference-only unless separately mounted.
AST-013,Your trusted family doctor awaits,2026-05-15,Your trusted family doctor awaits.png,2026-05-15_Gore-Hospital_Your-trusted-family-doctor-awaits_Social-Creative_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Social-Creative,Founder_Led_Trust,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Creative brief/asset / Family physician. Iteration/decision: Dr. Dattesh Gore and continuity-of-care benefits. Audit disposition: Strong strategic fit; use official logo/contact. Original bytes are reference-only unless separately mounted.
AST-014,Trusted care for your family,2026-05-15,Trusted care for your family.png,2026-05-15_Gore-Hospital_Trusted-care-for-your-family_Creative-Revision_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Creative-Revision,Founder_Led_Trust,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Revision instruction / Family physician. Iteration/decision: Remove doctor photo and use a different visual. Audit disposition: Historical iteration. Original bytes are reference-only unless separately mounted.
AST-015,गोरे मल्टीस्पेशालिटी हॉस्पिटल प्रचार पोस्टर,2026-05-15,गोरे मल्टीस्पेशालिटी हॉस्पिटल प्रचार पोस्टर.png,2026-05-15_Gore-Hospital_Asset_Social-Creative_MR_Social_SIZE-UNKNOWN_ARCHIVED_v01.png,Social-Creative,Marathi_Mega_Surgery_Camp_2026,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,MR,ARCHIVED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Four-variant poster sheet / Marathi Mega Surgery Camp 2026. Iteration/decision: 15–31 May; 30% surgery and 90% radiology/lab discount claims. Audit disposition: Critical proof/compliance review; old phones/logo. Original bytes are reference-only unless separately mounted.
AST-016,Act FAST - Recognise stroke signs,2026-05-16,Act FAST - Recognise stroke signs.png,2026-05-16_Gore-Hospital_Act-FAST-Recognise-stroke-signs_Social-Creative_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Social-Creative,24x7_Emergency_and_Trauma,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,"Type/topic: Generated creative / Stroke awareness. Iteration/decision: FAST test, emergency CTA, Gudi/legacy footer elements. Audit disposition: Rebuild current brand; source stats; correct footer. Original bytes are reference-only unless separately mounted."
AST-017,Act FAST: Know stroke signs,2026-05-16,Act FAST: Know stroke signs.png,2026-05-16_Gore-Hospital_Act-FAST-Know-stroke-signs_Creative-Revision_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Creative-Revision,24x7_Emergency_and_Trauma,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Revision / Stroke awareness. Iteration/decision: Cleaner FAST layout and emergency number emphasis. Audit disposition: Rebuild current brand. Original bytes are reference-only unless separately mounted.
AST-018,Stroke awareness: FAST and act now,2026-05-16,Stroke awareness: FAST and act now.png,2026-05-16_Gore-Hospital_Stroke-awareness-FAST-and-act-now_Creative-Revision_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Creative-Revision,24x7_Emergency_and_Trauma,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Revision / Stroke awareness. Iteration/decision: Expanded symptoms and “every minute matters” line. Audit disposition: Clinical/source review. Original bytes are reference-only unless separately mounted.
AST-019,"A healthy smile, healthy you",2026-05-16,"A healthy smile, healthy you.png",2026-05-16_Gore-Hospital_A-healthy-smile-healthy-you_Social-Creative_EN_Social_SIZE-UNKNOWN_SUPERSEDED_v01.png,Social-Creative,Dental_Family_Care,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,SUPERSEDED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Generated creative / Dental / family. Iteration/decision: Family photo and five tips. Audit disposition: Legacy logo/phones; current-template rebuild. Original bytes are reference-only unless separately mounted.
AST-020,"Healthy smile, healthy life tips",2026-05-16,"Healthy smile, healthy life tips.png",2026-05-16_Gore-Hospital_Healthy-smile-healthy-life-tips_Social-Creative_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Social-Creative,Dental_Family_Care,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Generated creative / Dental. Iteration/decision: 3D tooth/shield/gold visual. Audit disposition: Off-brand 3D; contact correction required. Original bytes are reference-only unless separately mounted.
AST-021,"A healthy smile, a healthy you",2026-05-16,"A healthy smile, a healthy you.png",2026-05-16_Gore-Hospital_A-healthy-smile-a-healthy-you_Social-Creative_EN_Social_SIZE-UNKNOWN_SUPERSEDED_v01.png,Social-Creative,Dental_Family_Care,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,SUPERSEDED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Generated creative / Dental. Iteration/decision: Dr. Sanika Gawade named; five tips. Audit disposition: Doctor name useful; legacy footer/phones. Original bytes are reference-only unless separately mounted.
AST-022,"Healthy smile, healthy you!",2026-05-16,"Healthy smile, healthy you!.png",2026-05-16_Gore-Hospital_Healthy-smile-healthy-you_Creative-Revision_EN_Social_SIZE-UNKNOWN_ARCHIVED_v01.png,Creative-Revision,Dental_Family_Care,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,ARCHIVED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Revision / Dental. Iteration/decision: Cartoon dental mascots and lifestyle CTA. Audit disposition: Cartoon-heavy; archive or rebuild. Original bytes are reference-only unless separately mounted.
AST-023,Know your emergency signs and care,2026-05-16,Know your emergency signs and care.png,2026-05-16_Gore-Hospital_Know-your-emergency-signs-and-care_Social-Creative_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Social-Creative,24x7_Emergency_and_Trauma,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Generated creative / Emergency. Iteration/decision: Seven emergency signs; ambulance/hospital scene. Audit disposition: Fear/urgency and contact/footer QA required. Original bytes are reference-only unless separately mounted.
AST-024,Child vaccination at Gore Hospital,2026-05-16,Child vaccination at Gore Hospital.png,2026-05-16_Gore-Hospital_Child-vaccination-at-Gore-Hospital_Social-Creative_EN_Social_SIZE-UNKNOWN_SUPERSEDED_v01.png,Social-Creative,Paediatric_Fever_and_Child_Health,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,SUPERSEDED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Generated creative / Paediatrics / vaccination. Iteration/decision: Photo-led teal/gold schedule reminder. Audit disposition: Wrong website .in and noncanonical logo; rebuild. Original bytes are reference-only unless separately mounted.
AST-025,Stay on track with vaccinations,2026-05-16,Stay on track with vaccinations.png,2026-05-16_Gore-Hospital_Stay-on-track-with-vaccinations_Social-Creative_EN_Social_SIZE-UNKNOWN_SUPERSEDED_v01.png,Social-Creative,Paediatric_Fever_and_Child_Health,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,SUPERSEDED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Generated creative / Paediatrics / vaccination. Iteration/decision: Photo-led vaccine schedule reminder. Audit disposition: Teal/gold legacy palette; contact/website QA. Original bytes are reference-only unless separately mounted.
AST-026,Stay on track with your child’s vaccines,2026-05-16,Stay on track with your child’s vaccines.png,2026-05-16_Gore-Hospital_Stay-on-track-with-your-child-s-vaccines_Social-Creative_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Social-Creative,Paediatric_Fever_and_Child_Health,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Generated creative / Paediatrics / vaccination. Iteration/decision: Cartoon/anime child and clinician. Audit disposition: Conflicts with photorealistic direction. Original bytes are reference-only unless separately mounted.
AST-027,Stay on track with vaccines,2026-05-16,Stay on track with vaccines.png,2026-05-16_Gore-Hospital_Stay-on-track-with-vaccines_Social-Creative_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Social-Creative,Paediatric_Fever_and_Child_Health,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Generated creative / Paediatrics / vaccination. Iteration/decision: Anime/cartoon variant. Audit disposition: Do not use as primary brand creative. Original bytes are reference-only unless separately mounted.
AST-028,Stay on track with vaccinations,2026-05-16,Stay on track with vaccinations.png,2026-05-16_Gore-Hospital_Stay-on-track-with-vaccinations_Social-Creative_EN_Social_SIZE-UNKNOWN_SUPERSEDED_v01.png,Social-Creative,Paediatric_Fever_and_Child_Health,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,SUPERSEDED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Generated creative / Paediatrics / vaccination. Iteration/decision: Gold cartoon variant. Audit disposition: Legacy/off-brand; archive. Original bytes are reference-only unless separately mounted.
AST-029,Heart_Carousel_Content,2026-05-20,Heart_Carousel_Content.docx,2026-05-20_Gore-Hospital_Heart-Carousel-Content_Content-Document_EN_NA_SIZE-UNKNOWN_DRAFT_v01.docx,Content-Document,Heart_Health_and_Cardiology,NA,UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,00_SOURCES/Original_Uploads,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Content document / Cardiology / heart habits. Iteration/decision: Seven-slide copy package. Audit disposition: Retain after clinical sourcing/rewrite. Original bytes are reference-only unless separately mounted.
AST-030,5 heart-healthy habits to adopt,2026-05-20,5 heart-healthy habits to adopt.png,2026-05-20_Gore-Hospital_5-heart-healthy-habits-to-adopt_Social-Creative_EN_Social_SIZE-UNKNOWN_SUPERSEDED_v01.png,Social-Creative,Heart_Health_and_Cardiology,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,SUPERSEDED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Creative sheet / Cardiology. Iteration/decision: Multi-panel brochure/carousel concept. Audit disposition: Legacy emblem/phones; likely too dense. Original bytes are reference-only unless separately mounted.
AST-031,gore_heart_habits_cover,2026-05-20,gore_heart_habits_cover.png,2026-05-20_Gore-Hospital_gore-heart-habits-cover_Social-Cover_EN_Social_SIZE-UNKNOWN_SUPERSEDED_v01.png,Social-Cover,Heart_Health_and_Cardiology,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,SUPERSEDED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Generated cover / Cardiology. Iteration/decision: Heart/stethoscope cover. Audit disposition: Legacy contact details; source claim. Original bytes are reference-only unless separately mounted.
AST-032,gore_heart_habits_cover.png (second file),2026-05-20,gore_heart_habits_cover.png (second file),2026-05-20_Gore-Hospital_gore-heart-habits-cover-png_Social-Cover_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Social-Cover,Heart_Health_and_Cardiology,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Generated cover revision / Cardiology. Iteration/decision: Alternate cover/slide composite. Audit disposition: Treat as iteration; approval unclear. Original bytes are reference-only unless separately mounted.
AST-033,5 daily habits to protect your heart.png variants,2026-05-20,5 daily habits to protect your heart.png variants,2026-05-20_Gore-Hospital_5-daily-habits-to-protect-your-heart-png-variants_Social-Creative_EN_Social_SIZE-UNKNOWN_SUPERSEDED_v01.png variants,Social-Creative,Heart_Health_and_Cardiology,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,SUPERSEDED,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Generated creative series / Cardiology. Iteration/decision: Cover and habit-panel iterations. Audit disposition: Archive duplicates; rebuild one approved series. Original bytes are reference-only unless separately mounted.
AST-034,Heart-healthy habits for a stronger you,2026-05-20,Heart-healthy habits for a stronger you.png,2026-05-20_Gore-Hospital_Heart-healthy-habits-for-a-stronger-you_Social-Creative_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Social-Creative,Heart_Health_and_Cardiology,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Generated creative / Cardiology. Iteration/decision: Alternate carousel treatment. Audit disposition: Approval/status unknown. Original bytes are reference-only unless separately mounted.
AST-035,gore_carousel_slide_1,2026-05-20,gore_carousel_slide_1.png,2026-05-20_Gore-Hospital_gore-carousel-slide-1_Carousel-Slide_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Carousel-Slide,Heart_Health_and_Cardiology,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Carousel slide / Cardiology. Iteration/decision: Cover: five daily habits. Audit disposition: Retain concept; rebrand and source. Original bytes are reference-only unless separately mounted.
AST-036,gore_carousel_slide_2,2026-05-20,gore_carousel_slide_2.png,2026-05-20_Gore-Hospital_gore-carousel-slide-2_Carousel-Slide_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Carousel-Slide,Heart_Health_and_Cardiology,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Carousel slide / Cardiology. Iteration/decision: Walk 30 minutes daily. Audit disposition: Risk reduction claim needs source. Original bytes are reference-only unless separately mounted.
AST-037,gore_carousel_slide_4,2026-05-20,gore_carousel_slide_4.png,2026-05-20_Gore-Hospital_gore-carousel-slide-4_Carousel-Slide_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Carousel-Slide,Heart_Health_and_Cardiology,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Carousel slide / Cardiology. Iteration/decision: Sleep 7–8 hours. Audit disposition: Risk claim needs source. Original bytes are reference-only unless separately mounted.
AST-038,gore_carousel_slide_5,2026-05-20,gore_carousel_slide_5.png,2026-05-20_Gore-Hospital_gore-carousel-slide-5_Carousel-Slide_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Carousel-Slide,Heart_Health_and_Cardiology,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Carousel slide / Cardiology. Iteration/decision: Stress management. Audit disposition: Contact text needs rebuild. Original bytes are reference-only unless separately mounted.
AST-039,gore_carousel_slide_6,2026-05-20,gore_carousel_slide_6.png,2026-05-20_Gore-Hospital_gore-carousel-slide-6_Carousel-Slide_EN_Social_SIZE-UNKNOWN_DRAFT_v01.png,Carousel-Slide,Heart_Health_and_Cardiology,Instagram/Facebook/WhatsApp (unverified),UNKNOWN,EN,DRAFT,None found,No explicit approval evidence found,Gore Hospital Comprehensive Project Audit 2026-07-13; File Library reference,99_ARCHIVE/02_Rejected_Assets,UNKNOWN,Not supplied,NOT_DOCUMENTED,Type/topic: Carousel slide (limited metadata) / Cardiology. Iteration/decision: Annual heart check-up stage. Audit disposition: Archive evidence; confirm file before reuse. Original bytes are reference-only unless separately mounted.
