Idea_ID,Category,Title,Format,Pillar,Audience,Funnel,Status,Source,Risk_or_Notes
IDEA-013,Blogs,Hyaluronic Acid vs. PRP for Knee Osteoarthritis,Long-form blog,Regenerative medicine,,MOFU,UNUSED,Jeevisha Research.md §11,
IDEA-014,Blogs,PRP Therapy Cost in Pune: What You Need to Know,Long-form blog,Pricing transparency,,MOFU/BOFU,UNUSED,Jeevisha Research.md §11,"Doctor/client verification required for price, duration, insurance or protocol claims"
IDEA-015,Blogs,Why Non-Surgical Pain Treatment Costs Less Than You Think,Long-form blog,Pricing transparency,,MOFU,UNUSED,Jeevisha Research.md §11,"Doctor/client verification required for price, duration, insurance or protocol claims"
IDEA-016,Blogs,Best Walking Routes in Wakad for Knee Pain Recovery,Long-form blog,Local/community,,TOFU,UNUSED,Jeevisha Research.md §11,
IDEA-017,Blogs,Why Hinjewadi IT Professionals Are Choosing Non-Surgical Back Pain Treatment,Long-form blog,Desk-job pain,,MOFU,UNUSED,Jeevisha Research.md §11,
IDEA-018,Blogs,Is PRP Covered by Insurance in India?,Long-form blog,Pricing/insurance,,MOFU,UNUSED,Jeevisha Research.md §11,"Doctor/client verification required for price, duration, insurance or protocol claims"
IDEA-019,Blogs,How Many PRP Injections Do I Need for Knee Pain?,Long-form blog,Regenerative medicine,,MOFU,UNUSED,Jeevisha Research.md §11,"Doctor/client verification required for price, duration, insurance or protocol claims"
IDEA-020,Blogs,Latest Research on Regenerative Medicine for Chronic Pain (2026),Long-form blog,Authority/research,,MOFU,UNUSED,Jeevisha Research.md §11,
IDEA-021,Blogs,"Why India Needs to Treat Chronic Pain as a Disease, Not a Symptom",Long-form blog,Authority/awareness,,TOFU,UNUSED,Jeevisha Research.md §11,
IDEA-022,Blogs,How to Avoid Knee Replacement Surgery,Long-form blog,Surgery avoidance,,MOFU,UNUSED,seo-foundation.md §§3–4,"Doctor review required for treatment, safety, price or candidacy claims"
IDEA-023,Blogs,How to Avoid Spine Surgery: Options to Discuss First,Long-form blog,Surgery avoidance,,MOFU,UNUSED,seo-foundation.md §§3–4,"Doctor review required for treatment, safety, price or candidacy claims"
IDEA-024,Blogs,Sciatica Treatment Options: What Changes by Diagnosis,Long-form blog,Condition education,,MOFU,UNUSED,seo-foundation.md §§3–4,
IDEA-025,Blogs,What Your MRI Report Actually Says,Long-form blog,Diagnostic clarity,,TOFU/MOFU,UNUSED,seo-foundation.md §§3–4,
IDEA-026,Blogs,How to Get a Second Opinion Before Surgery,Long-form blog,Surgery avoidance,,MOFU/BOFU,UNUSED,seo-foundation.md §§3–4,"Doctor review required for treatment, safety, price or candidacy claims"
IDEA-027,Blogs,Questions to Ask Before Knee Replacement,Long-form blog,Surgery avoidance,,MOFU,UNUSED,seo-foundation.md §§3–4,
IDEA-028,Blogs,When Is Surgery Actually Necessary?,Long-form blog,Collaborative honesty,,MOFU,UNUSED,seo-foundation.md §§3–4,"Doctor review required for treatment, safety, price or candidacy claims"
IDEA-029,Blogs,Non-Surgical Options for Slipped Disc,Long-form blog,Surgery avoidance,,MOFU,DUPLICATE,seo-foundation.md §§3–4,"Doctor review required for treatment, safety, price or candidacy claims; Near-duplicate of another extracted idea; preserve but consolidate during planning."
IDEA-030,Blogs,"Knee Replacement vs PRP: Cost, Recovery and Candidacy",Long-form blog,Pricing transparency,,MOFU,UNUSED,seo-foundation.md §§3–4,"Doctor review required for treatment, safety, price or candidacy claims"
IDEA-031,Blogs,How PRP Actually Works,Long-form blog,Regenerative medicine,,MOFU,UNUSED,seo-foundation.md §§3–4,"Doctor review required for treatment, safety, price or candidacy claims"
IDEA-032,Blogs,Is Stem Cell Therapy Safe in India?,Long-form blog,Regenerative medicine,,MOFU,UNUSED,seo-foundation.md §§3–4,"Doctor review required for treatment, safety, price or candidacy claims"
IDEA-033,Blogs,Who Is a Good Candidate for PRP?,Long-form blog,Regenerative medicine,,MOFU,UNUSED,seo-foundation.md §§3–4,"Doctor review required for treatment, safety, price or candidacy claims"
IDEA-034,Blogs,Five Morning Habits That Worsen Back Pain,Long-form blog,Condition education,,TOFU,DUPLICATE,seo-foundation.md §§3–4,Near-duplicate of another extracted idea; preserve but consolidate during planning.
IDEA-035,Blogs,Desk Job Back Pain in Hinjewadi: A Practical Guide,Long-form blog,Desk-job pain,,TOFU/MOFU,DUPLICATE,seo-foundation.md §§3–4,Near-duplicate of another extracted idea; preserve but consolidate during planning.
IDEA-036,Blogs,Difference Between Muscle Pain and Nerve Pain,Long-form blog,Condition education,,TOFU,DUPLICATE,seo-foundation.md §§3–4,Near-duplicate of another extracted idea; preserve but consolidate during planning.
IDEA-037,Blogs,When Should Back Pain Be Evaluated by a Specialist?,Long-form blog,Condition education,,TOFU/MOFU,UNUSED,seo-foundation.md §§3–4,
IDEA-038,Blogs,Alternatives to Knee Replacement: A Decision Guide,Long-form blog,Surgery avoidance,,MOFU,DUPLICATE,seo-foundation.md §§3–4,Near-duplicate of another extracted idea; preserve but consolidate during planning.
IDEA-039,Blogs,Second Opinion Before Spine Surgery in Pune,Long-form blog,Surgery avoidance,,BOFU,UNUSED,seo-foundation.md §§3–4,"Doctor review required for treatment, safety, price or candidacy claims"
IDEA-040,Reels,"3 signs your back pain needs a specialist, not just rest",Doctor-led reel,Condition education,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-041,Carousels,PRP vs. Cortisone — which one wins?,Educational carousel,Regenerative medicine,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-042,Video concepts,Dr. Sanjog explains what happens during a knee PRP procedure,Doctor-speaking video,Treatment explained,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-043,Video concepts,I walked 2 km after my injection — patient story,Patient testimonial video,Patient outcomes,,,NEEDS_REVIEW,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,"Outcome, price or blanket medical claim requires evidence and doctor/client approval"
IDEA-044,Static posts,Painkillers do not fix pain. They hide it.,Myth-buster static,Myth-busting,,,NEEDS_REVIEW,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,"Outcome, price or blanket medical claim requires evidence and doctor/client approval"
IDEA-045,Stories,Setting up the C-arm for a precision injection,Behind-the-scenes story,Trust-building,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-046,Reels,Why your Hinjewadi desk job is hurting your back,Local reel,Desk-job pain,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-047,Carousels,What your MRI report actually means,Educational carousel,Diagnostic clarity,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-048,Static posts,Knee replacement vs PRP: cost and recovery comparison,Comparison static,Surgery avoidance,,,NEEDS_REVIEW,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,"Outcome, price or blanket medical claim requires evidence and doctor/client approval"
IDEA-049,Static posts,We do not just treat pain. We treat people. — Dr. Sanjog,Founder quote card,Founder authority,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-050,Reels,Consultation → treatment → walking out time-lapse,Process reel,Patient journey,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-051,Stories,Does PRP hurt? Here is the honest answer.,FAQ story,Regenerative medicine,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-052,Static posts,Monsoon joint pain: why it happens and what to do,Seasonal static,Condition education,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-053,Stories,Dr. Sanjog at a medical conference,Authority story,Founder authority,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-054,Stories,Meet our sterilization protocol,Trust story,Trust-building,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-055,Campaigns,Second opinion for surgery recommendations,Offer/campaign concept,Surgery avoidance,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-056,Video concepts,From wheelchair to walking — patient journey concept,Patient story video,Patient outcomes,,,NEEDS_REVIEW,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,"Outcome, price or blanket medical claim requires evidence and doctor/client approval"
IDEA-057,Static posts,You are not too old for regenerative medicine,Myth-buster static,Regenerative medicine,,,NEEDS_REVIEW,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,"Outcome, price or blanket medical claim requires evidence and doctor/client approval"
IDEA-058,Reels,What is radiofrequency ablation? Explained in 60 seconds,Doctor-led reel,Treatment explained,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-059,Static posts,"Thank you, Wakad, for trusting us with your family’s health",Community static,Local/community,,,UNUSED,Jeevisha Research.md §11: 20 Social Post/Reel Ideas,
IDEA-060,GMB,Most knee pain has more options than you've been told.,GBP Update,Educational,,MOFU/BOFU,DRAFT,jeevisha-gmb-foundation.md §9.3,
IDEA-061,GMB,Fellowship-trained. Patient-first. Quietly confident.,GBP Update,Trust-building,,MOFU/BOFU,DRAFT,jeevisha-gmb-foundation.md §9.3,
IDEA-062,GMB,"Surgery isn't always the answer. Sometimes, your body is.",GBP Update,Surgery avoidance,,MOFU/BOFU,DRAFT,jeevisha-gmb-foundation.md §9.3,
IDEA-063,GMB,Returning to morning walks — Mrs. M's story.,GBP Update,Patient outcome (compliance-aware),,MOFU/BOFU,NEEDS_REVIEW,jeevisha-gmb-foundation.md §9.3,Uses an unsupported/placeholder patient outcome; do not publish without consent and evidence
IDEA-064,GMB,5 signs your back pain needs a specialist.,GBP Update,Educational,,MOFU/BOFU,DRAFT,jeevisha-gmb-foundation.md §9.3,
IDEA-065,GMB,Caring for Wakad. Caring for Hinjewadi. Caring for PCMC.,GBP Update,Local/Community,,MOFU/BOFU,DRAFT,jeevisha-gmb-foundation.md §9.3,
IDEA-066,GMB,"What is PRP therapy, really?",GBP Product (use Product type for service deep-dives),Regenerative medicine education,,MOFU/BOFU,DRAFT,jeevisha-gmb-foundation.md §9.3,
IDEA-067,GMB,How we work.,GBP Update,Trust-building,,MOFU/BOFU,DRAFT,jeevisha-gmb-foundation.md §9.3,
IDEA-068,GMB,What conditions do you treat at Jeevisha?,GBP Q&A,FAQ / trust,,,DRAFT,jeevisha-gmb-foundation.md §11.1,
IDEA-069,GMB,Does Jeevisha offer second opinions before surgery?,GBP Q&A,FAQ / trust,,,DRAFT,jeevisha-gmb-foundation.md §11.1,
IDEA-070,GMB,What is PRP therapy and what does it treat?,GBP Q&A,FAQ / trust,,,DRAFT,jeevisha-gmb-foundation.md §11.1,Doctor/client verification required before publishing
IDEA-071,GMB,Is PRP covered by health insurance in India?,GBP Q&A,FAQ / trust,,,DRAFT,jeevisha-gmb-foundation.md §11.1,Doctor/client verification required before publishing
IDEA-072,GMB,How much does a consultation at Jeevisha cost?,GBP Q&A,FAQ / trust,,,DRAFT,jeevisha-gmb-foundation.md §11.1,
IDEA-073,GMB,How long does PRP therapy last?,GBP Q&A,FAQ / trust,,,DRAFT,jeevisha-gmb-foundation.md §11.1,Doctor/client verification required before publishing
IDEA-074,GMB,Where is Jeevisha located?,GBP Q&A,FAQ / trust,,,DRAFT,jeevisha-gmb-foundation.md §11.1,
IDEA-075,GMB,Do you provide treatment for chronic pain that hasn't responded to other treatments?,GBP Q&A,FAQ / trust,,,DRAFT,jeevisha-gmb-foundation.md §11.1,Doctor/client verification required before publishing
IDEA-076,GMB,Who is Dr. Sanjog Mekewar?,GBP Q&A,FAQ / trust,,,DRAFT,jeevisha-gmb-foundation.md §11.1,Doctor/client verification required before publishing
IDEA-077,GMB,Do you offer treatment in Marathi or Hindi?,GBP Q&A,FAQ / trust,,,DRAFT,jeevisha-gmb-foundation.md §11.1,Doctor/client verification required before publishing
IDEA-078,Ads,Meta — Knee pain problem-aware: If climbing stairs feels like climbing a mountain...,Video testimonial + overlay,Knee pain,,MOFU,NEEDS_REVIEW,Jeevisha Research.md §12,Claim/offer requiring evidence and approval: Avoid knee replacement with PRP
IDEA-079,Ads,Meta — Surgery second opinion: Your doctor said you need surgery. Get a second opinion first.,Carousel ad,Surgery avoidance,,MOFU,NEEDS_REVIEW,Jeevisha Research.md §12,Claim/offer requiring evidence and approval: 80% of patients avoid surgery
IDEA-080,Ads,Meta — Monsoon joint pain: Monsoon joint pain is real. And treatable.,Image ad,Seasonal,,BOFU,NEEDS_REVIEW,Jeevisha Research.md §12,Claim/offer requiring evidence and approval: 500+ patients treated this monsoon; same-week appointment
IDEA-081,Ads,Meta — Founder-led: Meet Dr. Sanjog — the doctor who believes surgery should be the last option.,Founder video,Founder authority,,MOFU,UNUSED,Jeevisha Research.md §12,Doctor/client approval required
IDEA-082,Ads,Google Search — Knee pain: Knee Pain Treatment Wakad / Non-Surgical PRP Therapy / Book Same-Week Appointment,Search ad,Knee pain,,BOFU,UNUSED,Jeevisha Research.md §12,Doctor/client approval required
IDEA-083,Ads,Google Search — Second opinion: Told You Need Surgery? / Get a Free Second Opinion / Non-Surgical Options Available,Search ad,Surgery avoidance,,BOFU,NEEDS_REVIEW,Jeevisha Research.md §12,Claim/offer requiring evidence and approval: 80% of patients find non-surgical relief
IDEA-084,Ads,Google Search — Near me: Pain Clinic Near Me Wakad / Same-Day Appointments / Call/WhatsApp Now,Search ad,Local,,BOFU,NEEDS_REVIEW,Jeevisha Research.md §12,Claim/offer requiring evidence and approval: Best pain management clinic; no surgery needed
IDEA-085,Ads,YouTube — PRP explainer: What if you could avoid knee surgery with a simple injection?,30-second pre-roll,Regenerative medicine,,MOFU,NEEDS_REVIEW,Jeevisha Research.md §12,Claim/offer requiring evidence and approval: Simple injection
IDEA-086,Ads,YouTube — Patient story: I was told I needed knee replacement at 58. Then I found Dr. Sanjog.,45-second testimonial,Patient outcomes,,MOFU/BOFU,NEEDS_REVIEW,Jeevisha Research.md §12,Claim/offer requiring evidence and approval: Patient outcome
IDEA-087,Ads,WhatsApp — Direct outreach: Free MRI review for patients considering knee surgery,WhatsApp outreach,Surgery avoidance,,BOFU,NEEDS_REVIEW,Jeevisha Research.md §12,Claim/offer requiring evidence and approval: Free MRI review
IDEA-088,Ads,WhatsApp — Nurture sequence: Welcome → education → testimonial → booking reminder,14-day sequence,Lead nurturing,,MOFU/BOFU,NEEDS_REVIEW,Jeevisha Research.md §12,Claim/offer requiring evidence and approval: Special offer
IDEA-089,Campaigns,The Surgery Avoidance Guide,Lead magnet PDF,Surgery avoidance,,,UNUSED,Jeevisha Research.md §10,
IDEA-090,Campaigns,Desk Job Pain Relief Checklist,Lead magnet PDF,Desk-job pain,,,UNUSED,Jeevisha Research.md §10,
IDEA-091,Campaigns,Understanding Your MRI Report,Lead magnet PDF,Diagnostic clarity,,,UNUSED,Jeevisha Research.md §10,
IDEA-092,Campaigns,5 Questions to Ask Before Any Pain Injection,Lead magnet PDF,Trust-building,,,UNUSED,Jeevisha Research.md §10,
IDEA-093,Campaigns,Pain Assessment Quiz with personalized report,Interactive lead magnet,Lead generation,,,UNUSED,Jeevisha Research.md §10,
IDEA-094,Campaigns,Regenerative Pain Medicine Program,Service campaign,Regenerative medicine,,,NEEDS_REVIEW,Jeevisha Research.md §10,"Service scope, inclusions, price and clinical appropriateness unverified"
IDEA-095,Campaigns,Surgery Second Opinion Consultation,Service campaign,Surgery avoidance,,,UNUSED,Jeevisha Research.md §10,
IDEA-096,Campaigns,Pain Assessment + Diagnostic Consultation,Service campaign,Diagnostic clarity,,,UNUSED,Jeevisha Research.md §10,
IDEA-097,Campaigns,Comprehensive Spine/Joint Regeneration Package,Service campaign,Regenerative medicine,,,NEEDS_REVIEW,Jeevisha Research.md §10,"Service scope, inclusions, price and clinical appropriateness unverified"
IDEA-098,Campaigns,Annual Pain Wellness Membership,Retention campaign,Retention,,,NEEDS_REVIEW,Jeevisha Research.md §10,"Service scope, inclusions, price and clinical appropriateness unverified"
IDEA-099,Campaigns,Knee Renewal Program,Branded service package,Knee pain,,,NEEDS_REVIEW,Jeevisha Research.md §10,"Service scope, inclusions, price and clinical appropriateness unverified"
IDEA-100,Campaigns,Spine Rescue Protocol,Branded service package,Back/spine,,,UNUSED,Jeevisha Research.md §10,
IDEA-101,Campaigns,Athlete’s Comeback Plan,Branded service package,Sports injury,,,UNUSED,Jeevisha Research.md §10,
IDEA-102,Campaigns,Freedom from Fibromyalgia Program,Branded service package,Complex pain,,,NEEDS_REVIEW,Jeevisha Research.md §10,"Service scope, inclusions, price and clinical appropriateness unverified"
IDEA-103,Static posts,Guru Purnima — Honouring the wisdom that heals,Festival post,Occasion,,,DRAFT,jeevisha_prompting_style_guideline.md §9,Uses legacy 'Hospital' naming in source; update to active canonical after client sign-off
IDEA-104,Static posts,5 Signs Your Back Pain Needs Expert Attention,Text-heavy 75% static,Condition education,,,DRAFT,jeevisha_prompting_style_guideline.md §9,Uses legacy 'Hospital' naming in source; update to active canonical after client sign-off
IDEA-105,Static posts,Move Freely Again — Advanced spine and regenerative care,Photorealistic promotional static,Brand promotion,,,DRAFT,jeevisha_prompting_style_guideline.md §9,Uses legacy 'Hospital' naming in source; update to active canonical after client sign-off
IDEA-106,Static posts,Back pain? Meet expert spine care.,Promotional ad creative,Back pain,,,DRAFT,jeevisha_prompting_style_guideline.md §9,Uses legacy 'Hospital' naming in source; update to active canonical after client sign-off
IDEA-107,Static posts,Stronger knees. Smarter recovery.,Knee care promotional static,Knee pain,,,DRAFT,jeevisha_prompting_style_guideline.md §9,Uses legacy 'Hospital' naming in source; update to active canonical after client sign-off
IDEA-108,Static posts,Advanced Spine & Regenerative Care — six-pillar infographic,Infographic,Treatment overview,,,DRAFT,jeevisha_prompting_style_guideline.md §9,Uses legacy 'Hospital' naming in source; update to active canonical after client sign-off
IDEA-109,Carousels,5 Back Pain Myths Patients Still Believe,Carousel cover,Myth-busting,,,DRAFT,jeevisha_prompting_style_guideline.md §9,Uses legacy 'Hospital' naming in source; update to active canonical after client sign-off
IDEA-110,Reels,तो 9 बोटांनी typing करायचा,Marathi text-overlay reel,Hidden nerve symptoms,,,UNUSED,Jeevisha Marathi Text Overlay Script.txt,"Hook fragment only; full anonymized, medically accurate script still required"
IDEA-111,Reels,तीने बाहेर जाणं बंद केलं,Marathi text-overlay reel,Social withdrawal,,,UNUSED,Jeevisha Marathi Text Overlay Script.txt,"Hook fragment only; full anonymized, medically accurate script still required"
IDEA-112,Reels,त्याने खाणं बंद केलं होतं,Marathi text-overlay reel,Facial/oral pain story,,,UNUSED,Jeevisha Marathi Text Overlay Script.txt,"Hook fragment only; full anonymized, medically accurate script still required"
IDEA-113,Reels,4 महिन्यांपासून तो bed वर झोपलाच नव्हता,Marathi text-overlay reel,Sleep-disrupting pain,,,UNUSED,Jeevisha Marathi Text Overlay Script.txt,"Hook fragment only; full anonymized, medically accurate script still required"
IDEA-114,Stories,Ask Dr. Sanjog: submit your pain question,Question sticker story,Founder authority,,,UNUSED,Brand/GMB content pillars and SOPs,
IDEA-115,Stories,Bring your MRI: what to prepare for a second-opinion visit,Checklist story,Diagnostic clarity,,,UNUSED,Brand/GMB content pillars and SOPs,
IDEA-116,Stories,Clinic morning setup,Behind-the-scenes story,Trust-building,,,UNUSED,Brand/GMB content pillars and SOPs,
IDEA-117,Stories,C-arm equipment detail and why imaging guidance matters,Equipment story,Treatment explained,,,UNUSED,Brand/GMB content pillars and SOPs,
IDEA-118,Stories,USG-guided procedure preparation without patient identity,Equipment story,Treatment explained,,,UNUSED,Brand/GMB content pillars and SOPs,
IDEA-119,Stories,Review response: what patients value about being heard,Review story,Trust-building,,,UNUSED,Brand/GMB content pillars and SOPs,
IDEA-120,Stories,Marathi/Hindi/English consultation availability,Service story,Accessibility,,,UNUSED,Brand/GMB content pillars and SOPs,
IDEA-121,Stories,Wakad location and directions from Hinjewadi,Local directions story,Local/community,,,UNUSED,Brand/GMB content pillars and SOPs,
IDEA-122,Stories,Myth poll: Do all slipped discs need surgery?,Interactive poll story,Surgery avoidance,,,UNUSED,Brand/GMB content pillars and SOPs,Doctor/client approval required for medical statements
IDEA-123,Stories,One-question FAQ: when is surgery actually necessary?,Doctor answer story,Collaborative honesty,,,UNUSED,Brand/GMB content pillars and SOPs,Doctor/client approval required for medical statements
IDEA-124,Video concepts,"Dr. Sanjog introduction: credentials, philosophy, and what a first visit feels like",Founder introduction video,Founder authority,,,UNUSED,"Brand Brain, GMB and Research content pillars",Doctor review and consent required where patient/procedure is shown
IDEA-125,Video concepts,How Jeevisha reviews an MRI with a patient,Doctor-patient explainer,Diagnostic clarity,,,UNUSED,"Brand Brain, GMB and Research content pillars",Doctor review and consent required where patient/procedure is shown
IDEA-126,Video concepts,What happens during a surgery second-opinion consultation,Process video,Surgery avoidance,,,UNUSED,"Brand Brain, GMB and Research content pillars",Doctor review and consent required where patient/procedure is shown
IDEA-127,Video concepts,"PRP procedure setup: blood draw, centrifuge, image guidance",Procedure explainer,Regenerative medicine,,,UNUSED,"Brand Brain, GMB and Research content pillars",Doctor review and consent required where patient/procedure is shown
IDEA-128,Video concepts,Radiofrequency ablation: what patients should know before evaluation,Doctor explainer,Treatment explained,,,UNUSED,"Brand Brain, GMB and Research content pillars",Doctor review and consent required where patient/procedure is shown
IDEA-129,Video concepts,Desk-job neck pain: a Hinjewadi patient profile,Educational video,Desk-job pain,,,UNUSED,"Brand Brain, GMB and Research content pillars",Doctor review and consent required where patient/procedure is shown
IDEA-130,Video concepts,Knee pain on stairs: what it can mean,Educational video,Knee pain,,,UNUSED,"Brand Brain, GMB and Research content pillars",Doctor review and consent required where patient/procedure is shown
IDEA-131,Video concepts,Complex pain: why normal scans do not mean the pain is unreal,Authority video,Complex pain,,,UNUSED,"Brand Brain, GMB and Research content pillars",Doctor review and consent required where patient/procedure is shown
IDEA-132,Video concepts,When Jeevisha refers a patient for surgery,Trust-building video,Collaborative honesty,,,UNUSED,"Brand Brain, GMB and Research content pillars",Doctor review and consent required where patient/procedure is shown
IDEA-133,Video concepts,"Facility tour: consultation room, procedure room, equipment",Clinic tour,Trust-building,,,UNUSED,"Brand Brain, GMB and Research content pillars",Doctor review and consent required where patient/procedure is shown
IDEA-134,Video concepts,Sterilization and patient-safety protocol,Behind-the-scenes video,Trust-building,,,UNUSED,"Brand Brain, GMB and Research content pillars",Doctor review and consent required where patient/procedure is shown
IDEA-135,Video concepts,Monthly research update from Dr. Sanjog,Authority series,Research,,,UNUSED,"Brand Brain, GMB and Research content pillars",Doctor review and consent required where patient/procedure is shown
IDEA-136,Campaigns,Surgery Avoidance & Second Opinion,Integrated campaign,Surgery avoidance,,,DRAFT,"Synthesis of SEO, GMB, Research and project task history","Budget, dates, offer, approval and results not supplied"
IDEA-137,Campaigns,Regenerative Medicine & PRP Education,Integrated campaign,Regenerative medicine,,,DRAFT,"Synthesis of SEO, GMB, Research and project task history","Budget, dates, offer, approval and results not supplied"
IDEA-138,Campaigns,Knee Pain — Non-Surgical Options,Integrated campaign,Knee pain,,,DRAFT,"Synthesis of SEO, GMB, Research and project task history","Budget, dates, offer, approval and results not supplied"
IDEA-139,Campaigns,Back/Spine Pain for Desk-Job Professionals,Integrated campaign,Desk-job pain,,,DRAFT,"Synthesis of SEO, GMB, Research and project task history","Budget, dates, offer, approval and results not supplied"
IDEA-140,Campaigns,Monsoon Joint Pain,Integrated campaign,Seasonal,,,DRAFT,"Synthesis of SEO, GMB, Research and project task history","Budget, dates, offer, approval and results not supplied"
IDEA-141,Campaigns,Dr. Sanjog Founder Authority,Integrated campaign,Founder authority,,,DRAFT,"Synthesis of SEO, GMB, Research and project task history","Budget, dates, offer, approval and results not supplied"
IDEA-142,Campaigns,Wakad/PCMC/Hinjewadi Local Reach,Integrated campaign,Local/community,,,DRAFT,"Synthesis of SEO, GMB, Research and project task history","Budget, dates, offer, approval and results not supplied"
IDEA-143,Campaigns,GMB 30-Day Growth,Integrated campaign,GMB growth,,,DRAFT,"Synthesis of SEO, GMB, Research and project task history","Budget, dates, offer, approval and results not supplied"
IDEA-144,Campaigns,Review Generation,Integrated campaign,Reputation,,,DRAFT,"Synthesis of SEO, GMB, Research and project task history","Budget, dates, offer, approval and results not supplied"
IDEA-145,Campaigns,Sports Injury Return to Activity,Integrated campaign,Sports injury,,,DRAFT,"Synthesis of SEO, GMB, Research and project task history","Budget, dates, offer, approval and results not supplied"
IDEA-146,Campaigns,SEO Authority Rollout,Integrated campaign,SEO/content,,,DRAFT,"Synthesis of SEO, GMB, Research and project task history","Budget, dates, offer, approval and results not supplied"
IDEA-147,Carousels,Surgery is not always the first answer: five questions before knee replacement,Educational carousel,Surgery avoidance,,,UNUSED,Synthesis of SEO/GMB/Brand content clusters,Doctor review required before publication
IDEA-148,Carousels,PRP vs Cortisone vs Hyaluronic Acid: what changes by case,Educational carousel,Regenerative medicine,,,UNUSED,Synthesis of SEO/GMB/Brand content clusters,Doctor review required before publication
IDEA-149,Carousels,Pain specialist vs orthopedic surgeon vs physiotherapist,Educational carousel,Specialist authority,,,UNUSED,Synthesis of SEO/GMB/Brand content clusters,Doctor review required before publication
IDEA-150,Carousels,What your MRI says — and what it does not say,Educational carousel,Diagnostic clarity,,,UNUSED,Synthesis of SEO/GMB/Brand content clusters,Doctor review required before publication
IDEA-151,Carousels,Five myths about slipped discs,Educational carousel,Myth-busting,,,UNUSED,Synthesis of SEO/GMB/Brand content clusters,Doctor review required before publication
IDEA-152,Carousels,How a pain-management consultation works,Educational carousel,Trust-building,,,UNUSED,Synthesis of SEO/GMB/Brand content clusters,Doctor review required before publication
IDEA-153,Carousels,Back pain red flags vs common mechanical pain,Educational carousel,Condition education,,,UNUSED,Synthesis of SEO/GMB/Brand content clusters,Doctor review required before publication
