Conflict ID,Field,Version A,Source A,Version B,Source B,Risk,Recommended action,Person who must confirm,Status
CON-013,Accreditation,NABH/NABL recommended as trust signal,Strategy,No badge/evidence visible,Website audit,High compliance risk,Confirm exact accreditation scope/certificate numbers or explicitly state none,Founder + Quality lead,OPEN
CON-014,Facility scope,OT/ICU/dialysis/lab/pharmacy referenced,Website and drafts,Bed/ICU/OT counts and availability unverified,Research open items,High patient expectation risk,"Create signed facility inventory with counts, hours and operational status",Operations + Medical director,OPEN
CON-015,Radiology scope,"X-ray, MRI, CT claimed on site",Strategy website extraction,In-house vs partner unclear,Research open items,High clinical/service claim risk,"Confirm each modality, ownership, hours and reporting arrangements",Operations + Radiology lead,OPEN
CON-016,Cancer care scope,Cancer care/oncology listed,Website/strategy,Consult-only vs chemo/daycare/surgery unclear,Research open items,High medical advertising risk,Define exact scope and named specialists; avoid treatment/outcome claims until approved,Medical director,OPEN
CON-017,Language capability,Marathi/Hindi comfort recommended,Audience research,All doctors/staff speak Marathi/Hindi/English asserted in draft,GBP working draft,Medium service expectation risk,Confirm actual languages by front desk/doctor and publish only verified wording,Operations,OPEN
CON-018,Founder emergency response,3–4 minute response from home,One GBP review and GBP draft,Not operationally documented,No SLA/protocol supplied,High patient-safety and availability risk,Do not advertise as guarantee; document duty roster and evidence-based response wording,Founder + Operations,OPEN
CON-019,Patient testimonials,Named testimonials visible,Website screenshot/research,No consent or usage-rights records supplied,Asset audit,High privacy/consent risk,Secure written consent and approved usage scope or anonymize/remove,Founder + Legal/Compliance,OPEN
CON-020,Surgery-camp discounts,30% surgery and 90% radiology/lab discounts,Historical Marathi camp creative,"No terms, dates, exclusions or proof supplied",Project audit,High price/offer/compliance risk,"Archive until signed offer sheet, eligibility, validity and legal review exist",Founder + Billing,OPEN
CON-021,PCOS/PMOS claim,“PCOS becomes PMOS” historical creative,Historical asset,No authoritative medical source or approved terminology change,Audit,Critical misinformation risk,Do not publish; archive and require specialist/legal validation,Gynaecologist + Medical director,OPEN
CON-022,Medical statistics,"100,000 beats/day; 35% risk reduction; <6h triples risk; 80% preventable; thyroid 1 in 10",Heart/thyroid creatives,No source citations captured in project,Audit,High health-misinformation risk,"Replace with sourced, contextual, clinician-approved language or remove numbers",Medical reviewer + Content lead,OPEN
CON-023,“Best” claims,Best hospital/doctor wording appears on website/SEO targets,Website/strategy,No benchmark evidence,Compliance guide,High misleading-ad risk,Use descriptive local/service/credential wording; reserve superlatives for proven third-party awards,Founder + Compliance,OPEN
CON-024,Asset approvals,Many generated files/revisions exist,Project audit,No explicit approval/publish evidence for most assets,Missing approval ledger,High production reuse risk,Treat all historical creatives as DRAFT/ARCHIVED until approval is documented,Account lead,OPEN
CON-025,Editable files and licences,Final images referenced,Project audit,No PSD/AI/CDR/Canva/Figma/source licences or stock records supplied,Asset gap,High rework/rights risk,"Collect editables, font/stock licences, AI provenance and model/patient consents",Design lead + Account lead,OPEN
