Content_ID,Title,Content_Type,Category,Language,Pillar,Status,Approval_Evidence,Original_Source,Campaign,File,Notes
IDEA-089,ITI after 10th: options for families,Blog / landing page,Blogs,Marathi + English,Career Guidance,UNUSED,None,KUMSS source synthesis,SEO Foundation,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-090,ITI fees in Baramati,Blog / landing page,Blogs,Marathi + English,SEO / Parent Reassurance,UNUSED,None,KUMSS source synthesis,SEO Foundation,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-091,"What NCVT, DGT and DVET mean",Blog / landing page,Blogs,Marathi + English,Government Affiliations,UNUSED,None,KUMSS source synthesis,SEO Foundation,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-092,Apprenticeship after ITI,Blog / landing page,Blogs,Marathi + English,Career Guidance,UNUSED,None,KUMSS source synthesis,SEO Foundation,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-093,Admission Cycle 2026–27,Campaign concept,Campaigns,Marathi + English,Admission Cycle,DRAFT,None,KUMSS source synthesis,Admission Cycle 2026–27,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-094,India Book of Records amplification,Campaign concept,Campaigns,Marathi + English,Achievement,DRAFT,None,KUMSS source synthesis,India Book of Records amplification,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-095,Skill-tied festival cycle,Campaign concept,Campaigns,Marathi + English,Festival,DRAFT,None,KUMSS source synthesis,Skill-tied festival cycle,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-096,Industry connection series,Campaign concept,Campaigns,Marathi + English,Industry Connection,DRAFT,None,KUMSS source synthesis,Industry connection series,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-097,Counselor outreach,Campaign concept,Campaigns,Marathi + English,Counselor Outreach,DRAFT,None,KUMSS source synthesis,Counselor outreach,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-098,Alumni reactivation,Campaign concept,Campaigns,Marathi + English,Alumni,DRAFT,None,KUMSS source synthesis,Alumni reactivation,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-099,30-hour record mini-documentary,Video concept,Video Concepts,Marathi-first / bilingual,Achievement,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-100,Principal Marathi address series,Video concept,Video Concepts,Marathi-first / bilingual,Parent Reassurance,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-101,Seven-trade workshop series,Video concept,Video Concepts,Marathi-first / bilingual,Trade Spotlight,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-102,Parent testimonial series,Video concept,Video Concepts,Marathi-first / bilingual,Social Proof,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-103,Alumni outcome series,Video concept,Video Concepts,Marathi-first / bilingual,Alumni Stories,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-104,Industry visit video,Video concept,Video Concepts,Marathi-first / bilingual,Industry Connection,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-105,Campus tour,Video concept,Video Concepts,Marathi-first / bilingual,Infrastructure,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-106,Admission explainer video,Video concept,Video Concepts,Marathi-first / bilingual,Admission Cycle,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-107,Faculty micro-lessons,Video concept,Video Concepts,Marathi-first / bilingual,Faculty Credibility,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-108,Workshop safety induction,Video concept,Video Concepts,Marathi-first / bilingual,Skill Demonstration,UNUSED,None,KUMSS source synthesis,Always-on / Admission,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,
IDEA-109,Holi / Dhulivandan 2026 greeting,Static caption,Prior Context,Marathi,Festival,NEEDS_REVIEW,None,Prior context summary only,Festival Cycle,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Referenced 9881907908 and kumss.com; do not reuse.
IDEA-110,45-day OJT convocation at WHD Pune 2,Static/reel,Prior Context,Marathi,Industry Connection,NEEDS_REVIEW,None,Prior context summary only,Industry Connection,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,"Verify company, date, consent, source and publication."
IDEA-111,Misrouted creative-course admission caption,Static caption,Prior Context,Marathi,Admission,REJECTED,None,Prior context summary only,Archive,03_CONTENT/03_Content_Ideas/CONTENT_IDEA_REGISTER.csv,Mixed Sharadabai Pawar Kala Mahavidyalaya courses and unrelated numbers.
